ds,y
2020-01-22,0
2020-01-23,0
2020-01-24,2
2020-01-25,3
2020-01-26,3
2020-01-27,4
2020-01-28,8
2020-01-29,10
2020-01-30,10
2020-01-31,14
2020-02-01,19
2020-02-02,21
2020-02-03,23
2020-02-04,24
2020-02-05,24
2020-02-06,24
2020-02-07,26
2020-02-08,31
2020-02-09,33
2020-02-10,33
2020-02-11,35
2020-02-12,35
2020-02-13,35
2020-02-14,35
2020-02-15,36
2020-02-16,36
2020-02-17,36
2020-02-18,36
2020-02-19,36
2020-02-20,36
2020-02-21,53
2020-02-22,95
2020-02-23,188
2020-02-24,262
2020-02-25,366
2020-02-26,526
2020-02-27,788
2020-02-28,1072
2020-02-29,1441
2020-03-01,2165
2020-03-02,2687
2020-03-03,3305
2020-03-04,4252
2020-03-05,5622
2020-03-06,7340
2020-03-07,9441
2020-03-08,11913
2020-03-09,14647
2020-03-10,17985
2020-03-11,22971
2020-03-12,23699
2020-03-13,37454
2020-03-14,45289
2020-03-15,53662
2020-03-16,64001
2020-03-17,74700
2020-03-18,87640
2020-03-19,105878
2020-03-20,125033
2020-03-21,145394
2020-03-22,163778
2020-03-23,188191
2020-03-24,210357
2020-03-25,238427
2020-03-26,271011
2020-03-27,303490
2020-03-28,337288
2020-03-29,363973
2020-03-30,391950
2020-03-31,423587
2020-04-01,455284
2020-04-02,485765
2020-04-03,517714
2020-04-04,568079
2020-04-05,592222
2020-04-06,615750
2020-04-07,647156
2020-04-08,674876
2020-04-09,702803
2020-04-10,733488
2020-04-11,758629
2020-04-12,779860
